Year,Category,Count
1934,TS,1
1938,HU,1
1944,HU,3
1954,HU,2
1960,HU,1
1960,TS,1
1961,TS,1
1996,HU,1
1999,HU,1
2008,TS,1
2011,HU,1
2012,HU,1
2013,TS,1
2020,HU,1
